C10006,Clock and Timing,Real-time Clocks (RTC),RS5C372A-E2-F,SSOP-8_3.5x4.4x0.65P,8,Ricoh Elec Devices,Extended,HH:MM:SS (12/24 hr) YY-MM-DD I2C, 2-Wire Serial Clock/Calendar SSOP-8 Real-time Clocks (RTC) ROHS,https://datasheet.lcsc.com/lcsc/1808281011_Ricoh-Elec-Devices-RS5C372A-E2-F_C10006.pdf,1-9:1.948031496,10-29:1.902362205,30-99:1.870866142,100-499:1.840944882,500-:1.840944882,0,
C1018189,Clock and Timing,Clock Buffers, Drivers,8SLVP2104ANBGI,VFQFPN-28,29,RENESAS,Extended,VFQFPN-28(5x5) Clock Buffers, Drivers ROHS,https://datasheet.lcsc.com/lcsc/2104281511_RENESAS-8SLVP2104ANBGI_C1018189.pdf,1000-:2.803149606,200-499:2.957480315,30-199:7.642519685,1-9:7.642519685,500-999:2.853543307,10-29:7.642519685,0,
C1018190,Clock and Timing,Clock Buffers, Drivers,5PB1216NDGK,QFN-20,21,RENESAS,Extended,QFN-20(3x3) Clock Buffers, Drivers ROHS,https://datasheet.lcsc.com/lcsc/2104260005_RENESAS-5PB1216NDGK_C1018190.pdf,1000-:1.324409449,200-499:1.398425197,30-199:3.611023622,1-9:3.611023622,500-999:1.349606299,10-29:3.611023622,0,
C1018191,Clock and Timing,Clock Buffers, Drivers,9ZXL1251AKILF,VFQFPN-64,65,RENESAS,Extended,VFQFPN-64(9x9) Clock Buffers, Drivers ROHS,https://datasheet.lcsc.com/lcsc/2105031037_RENESAS-9ZXL1251AKILF_C1018191.pdf,1000-:3.088188976,200-499:3.259842520,30-199:8.422047244,1-9:8.422047244,500-999:3.144881890,10-29:8.422047244,0,
C1018192,Clock and Timing,Clock Buffers, Drivers,8T39204NLGI,VFQFPN-32,33,RENESAS,Extended,VFQFPN-32(5x5) Clock Buffers, Drivers ROHS,https://datasheet.lcsc.com/lcsc/2104270606_RENESAS-8T39204NLGI_C1018192.pdf,1000-:3.028346457,200-499:3.196850394,30-199:8.258267717,1-9:8.258267717,500-999:3.085039370,10-29:8.258267717,0,
C1018193,Clock and Timing,Clock Buffers, Drivers,8P34S2106AHGI,WLCSP-48,48,RENESAS,Extended,WLCSP-48(3.59x3.04) Clock Buffers, Drivers ROHS,https://datasheet.lcsc.com/lcsc/2104301510_RENESAS-8P34S2106AHGI_C1018193.pdf,1000-:3.491338583,200-499:3.683464567,30-199:9.518110236,1-9:9.518110236,500-999:3.554330709,10-29:9.518110236,0,
C1018196,Clock and Timing,Clock Generators / Frequency Synthesizers / PLL,5P49V5901B000NLGI,VFQFPN-24,25,RENESAS,Extended,VFQFPN-24(4x4) Clock Generators / Frequency Synthesizers / PLL ROHS,https://datasheet.lcsc.com/lcsc/2104270606_RENESAS-5P49V5901B000NLGI_C1018196.pdf,1000-:5.074015748,200-499:5.354330709,30-199:13.836220472,1-9:13.836220472,500-999:5.166929134,10-29:13.836220472,0,
C1018198,Clock and Timing,Clock Generators / Frequency Synthesizers / PLL,8V97051ANLGI,VFQFPN-32,33,RENESAS,Extended,VFQFPN-32(5x5) Clock Generators / Frequency Synthesizers / PLL ROHS,https://datasheet.lcsc.com/lcsc/2105040635_RENESAS-8V97051ANLGI_C1018198.pdf,1000-:6.521259843,200-499:6.883464567,30-199:17.785826772,1-9:17.785826772,500-999:6.640944882,10-29:17.785826772,0,
C1018201,Clock and Timing,Clock Generators / Frequency Synthesizers / PLL,8T49N008A-059NLGI,VFQFPN-40,41,RENESAS,Extended,VFQFPN-40(6x6) Clock Generators / Frequency Synthesizers / PLL ROHS,https://datasheet.lcsc.com/lcsc/2107280540_RENESAS-8T49N008A-059NLGI_C1018201.pdf,1000-:7.984251969,200-499:8.426771654,30-199:21.774803150,1-9:21.774803150,500-999:8.130708661,10-29:21.774803150,0,
C1018202,Clock and Timing,Clock Generators / Frequency Synthesizers / PLL,8T49N008A-058NLGI,VFQFPN-40,41,RENESAS,Extended,VFQFPN-40(6x6) Clock Generators / Frequency Synthesizers / PLL ROHS,https://datasheet.lcsc.com/lcsc/2107280540_RENESAS-8T49N008A-058NLGI_C1018202.pdf,1000-:7.984251969,200-499:8.426771654,30-199:21.774803150,1-9:21.774803150,500-999:8.130708661,10-29:21.774803150,0,
C1018203,Clock and Timing,Clock Generators / Frequency Synthesizers / PLL,8T49N008A-055NLGI,VFQFPN-40,41,RENESAS,Extended,VFQFPN-40(6x6) Clock Generators / Frequency Synthesizers / PLL ROHS,https://datasheet.lcsc.com/lcsc/2107280540_RENESAS-8T49N008A-055NLGI_C1018203.pdf,1000-:7.984251969,200-499:8.426771654,30-199:21.774803150,1-9:21.774803150,500-999:8.130708661,10-29:21.774803150,0,
