C237065,Pushbutton Switches & Relays,Slide Switches,MFP211N,SW-TH_MFP211N,10,Knitter-switch,Extended,30V 350mA On-On DPDT - Through Hole Slide Switches ROHS,https://datasheet.lcsc.com/lcsc/1810132313_Knitter-switch-MFP211N_C237065.pdf,500-999:0.499212598,2000-3999:0.485039370,10-29:0.710236220,100-499:0.513385827,1-9:0.859842520,30-99:0.603149606,1000-1999:0.491338583,4000-:0.481889764,0,
C237067,Pushbutton Switches & Relays,Slide Switches,MFP213N-RA,SW-TH_MFP213N-RA,8,Knitter-switch,Extended,12V 100mA @ 12VDC On-On DPDT - Through Hole Slide Switches ROHS,https://datasheet.lcsc.com/lcsc/1810132111_Knitter-switch-MFP213N-RA_C237067.pdf,1-9:1.004724409,10-29:0.831496063,30-99:0.705511811,100-499:0.601574803,500-999:0.582677165,1000-1999:0.574803150,2000-3999:0.568503937,4000-:0.563779528,0,
C237079,Pushbutton Switches & Relays,Slide Switches,MMP1010D,SW-TH_MMP1010D,3,Knitter-switch,Extended,12V 500mA @ 12VDC On-On SPDT - Through Hole Slide Switches ROHS,https://datasheet.lcsc.com/lcsc/1810222155_Knitter-switch-MMP1010D_C237079.pdf,4000-:0.774803150,500-999:0.800000000,10-29:1.137007874,100-499:0.825196850,1000-1999:0.788976378,1-9:1.373228346,30-99:0.965354331,2000-3999:0.779527559,0,
C237086,Pushbutton Switches & Relays,Coded Rotary Switches,SMR14016,SW-SMD,6,Knitter-switch,Extended,Through Hole Coded Rotary Switches ROHS,https://datasheet.lcsc.com/lcsc/1809201214_Knitter-switch-SMR14016_C237086.pdf,500-999:3.858267717,1-9:4.718110236,30-99:4.015748031,2000-3999:3.752755906,4000-:3.724409449,10-29:4.124409449,100-499:3.907086614,1000-1999:3.798425197,0,
C237088,Pushbutton Switches & Relays,Coded Rotary Switches,SMR14116,SW-SMD,6,Knitter-switch,Extended,Through Hole Coded Rotary Switches ROHS,https://datasheet.lcsc.com/lcsc/1809201231_Knitter-switch-SMR14116_C237088.pdf,500-999:3.858267717,2000-3999:3.752755906,1-9:4.718110236,30-99:4.015748031,1000-1999:3.798425197,10-29:4.124409449,100-499:3.907086614,4000-:3.724409449,0,
C24645,Pushbutton Switches & Relays,Relays,HF115F/024-1HS3,RELAY-TH_HF115F-XXX-1HS3,6,HF(Xiamen Hongfa Electroacoustic),Extended,SPST-NO 16A Non Latching 24VDC General Purpose Through Hole Relays ROHS,https://datasheet.lcsc.com/lcsc/1810271708_HF-Xiamen-Hongfa-Electroacoustic-HF115F-024-1HS3_C24645.pdf,1-9:1.600000000,10-29:1.335433071,30-99:1.143307087,100-499:0.985826772,500-999:0.957480315,1000-1999:0.944881890,2000-3999:0.935433071,4000-:0.927559055,0,
C26638,Pushbutton Switches & Relays,Tactile Switches,C26638,SW-SMD,2,Made in China,Extended,SPST-NO 50mA @ 12VDC Top Actuated Standard SMD Tactile Switches RoHS,https://datasheet.lcsc.com/lcsc/1806111712_Made-in-China-C26638_C26638.pdf,10-90:0.041259843,100-290:0.034330709,1000-4990:0.024881890,10000-19990:0.023937008,5000-9990:0.024251969,40000-:0.023464567,300-990:0.029133858,20000-39990:0.023622047,0,
C2681571,Pushbutton Switches & Relays,Slide Switches,SS12D07VG2,SW-TH,5,SHOU HAN,Extended,Plugin Slide Switches ROHS,https://datasheet.lcsc.com/lcsc/2102241737_SHOU-HAN-SS12D07VG2_C2681571.pdf,50-450:0.016535433,500-1450:0.013370079,1500-4950:0.011086614,5000-24950:0.009196850,25000-49950:0.008881890,50000-99950:0.008724409,100000-199950:0.008598425,200000-:0.008519685,0,
C2681572,Pushbutton Switches & Relays,Slide Switches,SS12D07VG3,SW-TH,5,SHOU HAN,Extended,Plugin Slide Switches ROHS,https://datasheet.lcsc.com/lcsc/2102241737_SHOU-HAN-SS12D07VG3_C2681572.pdf,50-450:0.016535433,500-1450:0.013370079,1500-4950:0.011086614,5000-24950:0.009196850,25000-49950:0.008881890,50000-99950:0.008724409,100000-199950:0.008598425,200000-:0.008519685,0,
C2681573,Pushbutton Switches & Relays,Slide Switches,SS12D07VG5,SW-TH,5,SHOU HAN,Extended,Plugin Slide Switches ROHS,https://datasheet.lcsc.com/lcsc/2102241737_SHOU-HAN-SS12D07VG5_C2681573.pdf,80000-:0.008377953,20-180:0.016377953,200-580:0.013228346,600-1980:0.010944882,2000-9980:0.009055118,10000-19980:0.008740157,20000-39980:0.008582677,40000-79980:0.008456693,0,
